tweet,polarity
#LetLeniLead2022 #LeniKiko2022 #LeniKikoTeam2022 #LeniKikoAllTheWay,d
"“When you shine, you do not shine for yourself. You shine so that others who are in darkness might see.”   #LetLeniLead2022 #PasigLaban #TheFutureisFemale   💖🎀🌸🌷  https://t.co/8aiZWuuswc",a
"Dahil wala ako sa #PasigLaban kahapon, ito muna ang ambag ko. Gusto ko lang iassert na in my own little way may stand ako.  Song is Rosas by Nica del Rosario and Gab Pangilinan. Nilapatan ko lang ng konting salita. #LetLeniLead2022 Medyo rough yung recording hahahaha  https://t.co/dooB7cZAuH",a
Yung magsasalita ka ng bobo pero hindi mo kayang patunayan na hindi ka bobo? Awts. #BBMLoser #LetLeniLead2022  https://t.co/oBEt03Dzy9,d
@GAE4W0N non oomf but #LetLeniLead2022,d
#WeWantNeri #LetNeriSpeak #LetLeniLead2022,d
#LetLeniLead2022  https://t.co/uIoWgub0zd,d
@i05sjy #LetLeniLead2022,d
"Men decides how a woman act. Be motherly,submissive,quiet,proper.A man fights for the oppressed even with force he is a hero, when a woman does,she is violent,unruly. Dont let them dictate how you fight especially if its just &amp; for the weak. #LetLeniLead2022 #BBMSARA2022  https://t.co/35ozG79y1b",a
Juliab and Our queen💞🥺   #JuliaBarretto #LetLeniLead2022  https://t.co/gJBb2yB0Ua,a
@bagors2003 #LetLeniLead2022 🌷,d
Ganda nung customized Funko Pop na Leni 🥺  Credits to Cubao Customs from fb #LetLeniLead2022  #10RobredoForPresident  #AngatBuhayLahat  https://t.co/d0brU8n6cX,a
@wonieegives #LetLeniLead2022  https://t.co/j2oR4PNI9S,d
"Go, Mikachu!!  #LetLeniLead2022",a
🌸 Kulay Rosas Ang Bukas!!  #PasigLaban #LetLeniLead2022 #LeniKiko2022 #KulayRosasAngBukas  https://t.co/rmJCnjMtg8,a
"Mamamoo + Leni = Lenimoo? Mamaleni? 😅 Ah basta, stan Mamamoo (stream Solar's ""Honey"" too) and VOTE FOR LENI-KIKO!  #AngatBuhayLahat #KulayRosasAngBukas #PasigLaban #LetLeniLead2022 #LeniKiko2022  #MAMAMOO #KPopStans4Leni 💗",a
@GAE4W0N OH OH OH #LetLeniLead2022,d
"@robertmarion Same here @robertmarion sobrang nakaka kilabot. Real care, Real Love na walang sapilitan. Iba talaga pag totoong pagmamahal ng mga kakampink ang nangibabaw. #LetLeniLead2022 #LeniKiko2022",a
Grabe pa din hang over ko sa #PasigLaban kahapon🌸💗 #LetLeniLead2022 #MyAndOurPresident🌸💗  https://t.co/Pumk69xLlZ,a
@i05sjy non oomf but #LetLeniLead2022,d
HAHAHAHAHA GAGI EH #LetLeniLead2022 #KulayRosasAngBukas  https://t.co/Tp5BGpWGyS,d
w33333ll!  #LetLeniLead2022 #IpanloNa10To  #KikoAngManokKo  #HindiKamiBayad  #ArtistsforLeni,d
"Kaka-attend ko ng people's rally, Nakalimutan ko maging malungkot.  Sa gobyernong tapat, mawawala ang anxiety at depression ng lahat!  MORE!!! 💅 Wala pa ba dyan?  #LeniKiko2022 #LetLeniLead2022  #KulayRosasAngBukas",a
#LetLeniLead2022 #IpanloNa10To  #KikoAngManokKo  #HindiKamiBayad  #ArtistsforLeni,d
#votewisely #LetLeniLead2022  #KikoAngManokKo 🌷💖,d
First TikTok video. 🙈 #LetLeniLead2022 #KayLeniNaTayo #10RobredoForPresident  https://t.co/6uFQ3fJCKY,d
VP Leni’s impact!!🎀 #LetLeniLead2022  #KulayRosasAngBukas @lenirobredo  https://t.co/FNVPLlMhgZ,d
"#PasigLaban  #LetLeniLead2022  Hagardo versoza man after ng rally, no regrets💗💗💗 just hope and radical 🤟🤟🤟🇵🇭  https://t.co/K2WGW749af",a
"I will never forget March 20, 2022 my first political rally and I must say worth it ipaglaban yung taong may tunay na pagmamahal sa bayan at bansa. Indeed, it was a night of pouring genuine love, kindess, and generosity from the people. ✊🌸💗  #IpanloNa10To  #LetLeniLead2022  https://t.co/H285rATAhX",a
Ma'am Leni wala pong president president dito. Pumili po kayo with respect 😉 #PasigLaban #PasigIsPink #LetLeniLead2022,a
Abante Babae! Made by yours truly🎀🌷  #AngatBuhayLahat  #KulayRosasAngBukas  #AbanteBabae  #LetLeniLead2022  https://t.co/3FFn2r40zo,a
Tangina hahahaha #LetLeniLead2022,d
did a little part of this mural  Please  #LetLeniLead2022 .  #IpanloNa10To  #KikoAngManokKo  #HindiKamiBayad  #ArtistsforLeni  https://t.co/PMKSyvdJDY,a
And higit sa lahat yung may GOAL AT PLATAPORMANG NAKALAAN PARA SA KINABUKASAN 💖 #LeniKiko2022 #LetLeniLead2022  #KulayRosasAngKulayNgBukas,a
"it tells so much about a person, anyways #LetLeniLead2022 #KulayRosasAngBukas 🌸 #LeniKiko2022",a
Find me on #TaguanArtPH #LetLeniLead2022  I DARE YOUUUUUUU  https://t.co/GMxlKXEir6,d
TAMA BEHAVIOR #LetLeniLead2022,a
🥺🌸 #LetLeniLead2022  #KulayRosasAngBukas,d
di parin ako maka move on na isa ako sa mga dumalo sa PASIG. it felt surreal. TARA NA IPANALO NA NATIN TO!!! #LetLeniLead2022 #LeniKiko2022,a
Sayang daw talino ko kasi LENI ako!Whahahaaha 🌷 #LetLeniLead2022  #Kakampinks  #KulayRosasAngBukas,a
"Ika nga kanina sa misa, radikal magmahal. At magagawa lang natin ito nang sama-sama.  #LetLeniLead2022 #WeWantNeri #DasalanSaBatangan",a
Mag nag comment na tungkol sa sinabi ni VP Leni sa debate na 230Billion.. Pnalalaki Nanaman.. Walang saysay.. #LetLeniLead2022 #MarcosNumber1Sinungaling,d
"So proud of Youth For Leni - Sto. Tomas, Batangas! We made it, yas! 🌷🌷🌷 #LetLeniLead2022    Pray, Hope, and Don't Worry. ✨ -St. Padre Pio of Pietrelcina  https://t.co/yi4lZwr02f",a
Respect facts dapat bago respect my opinion.  GANON!!!!!   #LetLeniLead2022 #Kakampink #PasigLaban  https://t.co/7eF8odnmrs,a
BBM VS ABS CBN!  #Charot #LetLeniLead2022 #BBMSARA2022,d
#LetLeniLead2022  https://t.co/JGK5E08jX6,a
The brightness of this color symbolize strong call for change and the need of every Filipinos to unite together not to divide.  #LetLeniLead2022  #LeniKiko2022,a
#LetLeniLead2022  #RosasAngKulayNgBukas  #LeniKiko2022,a
Maam @lenirobredo pa ampon po. char i love you  #Kakampink  #LeniKiko2022  #LetLeniLead2022,a
Kinakabukasan mo ang pinaglalaban! #LetLeniLead2022,a
"@BOBBIIMPERIAL Yan ang hindi kayang gawin ng ibang kumakandidato. Ang magpapunta ng mga tao ng walang bayad at magpakita ng suporta ng buong kasiglahan. Yung sa iba,binayaran na, mga may energy gap pa. #LetLeniLead2022",a
"Ilang araw nalang! Ipanalo na10 Ito! Para sa pamilya ko, para sa bayan ko, at lalong lalo na para saakin na isang kabataan na nag hihikayat upang iboto ang karapat dapat at iyon ay si Leni! #DapatSiLeni  #IpanloNa10To #LetLeniLead2022",a
"people tend to choose BBM over leni because at there very core they are just as ignorant and lack of compassion, as long as you’re not having problems on your end then you tend to stay ignorant #BBMSaraUNITEAM #LetLeniLead2022 #sandro #KayLeniNaTayo #BONGBONGMARCOS2022 #ABSENT  https://t.co/4JLlfRgaKx",a
🌸🌸🌸🌸🌸  #LetLeniLead2022  https://t.co/KTYEE9WFJr,d
"@wingar99z di ko rin nagagawa lagi hahaha pero kapag ang tagal ng biyahe, kinakaya ko na 😂   kaya napakahalaga ng maayos na public transportation. Buti binanggit yan ni VP Leni! #LetLeniLead2022 #LeniKiko2022 #GobyernongTapatAngatBuhayLahat",a
"Gaawwdd feeling ko matagal ako bago maka move on sa nangyari kagabi huhuhu di pa rin talaga ako makapaniwala na naging parte ako ng rally!! PROUD OF YOU, SELF 🥺😭 #IpanloNa10To  #10RobredoPresident  #LeniKiko2022  #LetLeniLead2022  #PasigLaban #PasigIsPink",a
I am a Pharmacist for Leni and Kiko 💗  #KulayRosasAngBukas #LeniKiko2022 #RPhForLeniKiko #LetLeniLead2022  https://t.co/2pz39EZakI,a
Sa Padre Pio pa lang to grabeee na agadd😍Naeexcite na tuloy ako sa grandrally💗 #BatangaIsPink #LetLeniLead2022,a
#pink na ilaw sa dulo ni Mang Tomas 💕💕💕  #LetLeniLead2022,a
Omg!!! May nagchachat sakin!  “Leni na rin ako!” “Leni rin ako Sir” “Leni nak met!”  #LetLeniLead2022,a
It feels surreal after attending my first ever leni rally. Everyone are just nice from volunteers to the attendees. Still gives me goosebumps. #LetLeniLead2022 #LeniKiko2022 #LeniKikoAllTheWay #PasigLaban #PasigIsPink  https://t.co/IIZw7dSCh4,a
@mdncfth the only reason people like bbm is bc of his surname pero tbh… he’s nothing without it. kaya #LetLeniLead2022 !!! 🌸,d
who r u looking for??😌💗 #LeniRobredo2022 #LetLeniLead2022  https://t.co/HMC2NREZmi,d
"Ang dramatic ko ngayon naooverwhelm ako na naiiyak sa mga napapanood kong nagtatanggol, nagswitch ng president at mga videos for Leni. Puta haha 🌸🎀 #KulayRosasAngBukas #Kakampink #kakampinks #LetLeniLead2022",a
Nakakatuwa puro tungkol kay Leni nasa FYP ko 🥰🌸💕 #KikoAngManokKo #Kakampink #Kakampinks #LetLeniLead2022,a
"Yes, uwian na last night pero hindi naubusan ng energy ang mga #Kakampink sa #PasigLaban   #LetLeniLead2022  #PasigIsPink  🌷💗🎀🌸",a
Tong mga to di ko talaga magets.  Sia and Katy Perry are Shaking!!!!  #LetLeniLead2022 #IpanaloNa10to  https://t.co/kPb6ke6RYo,d
"Mindanao doing Mindanao things. If that’s the pulse on the ground, then so be it. Politics is about addition, not subtraction. As for the supporters of Team TRoPa, the campaign continues. Carry on, Team RP. #KayLeniNaTayo #AngatBuhayLahat #10RobredoPresident #LetLeniLead2022",a
brop my school just posted a post saying 531 ppl in the school supports leni oh may ghad... they even had to add a disclaimer for #those people #LetLeniLead2022,d
we made it to thai twt 🥹 #LetLeniLead2022,d
What do you expect? Mga sumusuporta ng magnanakaw ay magnanakaw rin. Our values reflect to who we are voting for. #LetLeniLead2022 #LeniKiko2022,d
"I will never get tired of saying #LetLeniLead2022 and #LeniKiko2022. Para sa kabataan, para sa Pilipinas! 💓🎀",a
omg the pink pocas 💖🌸🌷 nct dream says #KulayRosasAngBukas #LetLeniLead2022 char,a
#LetLeniLead2022 #LeniKiko2022  #KulayRosasAngBukas,a
Andrew e lng pala kaiinggitan eh???hahahahahahahahaha.  Andrew e &gt; benandben LMAO 137k attendees &lt; nilalangaw #LetLeniLead2022 #KulayRosasAngBukas #203Billion  https://t.co/nQLDcHHtkJ,d
"#LetLeniLead2022 🎀💕  Salamat sa pagtindig, Love you guys! 💕 @janibears  https://t.co/lahDkbVO7J",a
"Pero tama ba na i-sisi natin kay VP lahat ng mga nagawang mali ng Administration ng mga Aquino? Adik? NPA? But there's no proof that VP Leni is a Drug Addict, a Member of NPA.  MY SUPPORT IS YOURS, @lenirobredo ! TITINDIG KAMI, PARA SAYO!  #LetLeniLead2022  #IpanaloNa10To",a
Dun tayo sa Malinis 😜✌🏼 #LetLeniLead2022  https://t.co/fwi6kZlLXg,a
@Eommaof3boys For clout daw kasi HAHAHAHA! Tas feel na feel pa nila na ini-endorse sila ni Ariana HAHAHAHA! CREDIT GRABBING IS LIFE FOR PINKS 🌸 #LetLeniLead2022,s
the best man for the job is a woman.  🎀  #LetLeniLead2022   #KulayRosasAngBukas  #KayLeniTayo,a
My mother in law who has just turned 82 wants to vote for Leni. We will make sure she does this May. Every vote matters. #10RobredoForPresident #LeniWanagSaDilim #LetLeniLead2022  #KulayRosasAngKulayNgBukas  #GobyernongTapatAngatBuhayLahat,a
"greatest achievement ko today? i converted two BBM apologists to kakampink!   ituloy natin ito mga kaibigan, mahaba pa ang laban. pero wag tayo sumuko ha.  #Kakampink  #LetLeniLead2022  #LeniKiko2022  #NuevaEcijaPinkRally  #NuevaEcijaIsPink",a
May pamilyang BBM for Leni  #LetLeniLead2022,d
#LetLeniLead2022  https://t.co/6Z4TbhPhgS,d
"kay leni ako, ikaw ga? 🌸  #LetLeniLead2022  #KulayRosasAngBukas  https://t.co/H61M4LBEt3",a
awww lezgooo kakampink  #LetLeniLead2022,a
"'di man ako into politics pero ang pagkakaisa ng mga Pilipino para sa isang hangarin ay mahiwaga. and i am convinced na da best man for the job is a WOMAN. Ipanalo naten 'to! Pili, pinas, Piliin si Leni!   #KulayPosasAngBukas #LetLeniLead2022",a
Ito ang aking unang boto para sa pangulo. at taos puso kung ibibigay ang aking unang boto kay LENI.  #LetLeniLead2022 #KulayRosasAngKulayNgBukas,a
"Ayaw ni Kiko Pangilinan ng may nagugutom, btw kumain ka na? 🌸💗🥵  #LeniKikoAllTheWay #KulayRosasAngBukas #LetLeniLead2022",d
we say #LetLeniLead2022 🎀,a
"sa gobyernong tapat, makakaattend ng got7 concert ang lahat!  #LetLeniLead2022  #LeniKiko2022  #GOT7",a
I love you VP Leni!   #LetLeniLead2022 #KulayRosasAngBukas #LeniKiko2022,a
So proud to be part of this event!  Nag kulay Rosas ang Emerald Ave. Ortigas Pasig!   #PasigLaban  #PasigIsPink  #AngatBuhayLahat  #LetLeniLead2022  https://t.co/b2XRQG0n2q,a
Matatawa ka na lang talaga. 😅🤣 Kabado na yarnnn?!  #LetLeniLead2022  #IpanloNa10To  #10RobredoPresident  #LeniRobredo2022,d
"more witty placards, and our own. creds to madam @tellelegaspi for making it, and for the pic! #PasigIsPink #LetLeniLead2022 #PasigLaban  https://t.co/f6bepfRM9a",a
LET' VOTW FOR CHEL DIOKNO! 💗  #LetLeniLead2022,d
Nasa Batangas na siya after that electrifying #PasigLaban?? Grabe. See how she can hop on different regions like it's Monumento to Divisoria? Dedikasyon. Tibay. Ganyan ang pagmamahal ni VP Leni sa mga Pilipino. 💗✨🎀  #LeniKiko2022 #LetLeniLead2022 #KayLeniTayo,a
"SO HAPPY TO MET SOME OF THE KAKAMPINKS, LAST NIGHT. 💗  #LetLeniLead2022",a
I’ve been seeing #LetLeniLead2022 posts since day one. They’re all over my Twitter and FB feed.  I am not complaining. I’m loving it. MOOOORE! 🎀,a
"if you're going to justify your vote, your decision by insinuating something against the opponent of your candidate...  this is my advice to you, TAKE SOME TIME AND RETHINK YOUR DECISION.  #KulayRosasAngBukas #LetLeniLead2022",a
#LetLeniLead2022 #KulayRosaAngBukas  https://t.co/QuN0rDVb9i,d
"saw a video on Tiktok saying na kaya hindi nya iboboto si Leni ay dahil magtratrabaho daw sya for Liberal Party...  after watching the whole video, i realize one big difference sa KAKAMPINK and BBM Supporters.  #LetLeniLead2022",a
my papa always telling me to eat with him tuwing umuuwi ako galing school😭😭😭 oo na sige na di na muna kita aawayin ngyon basta #LetLeniLead2022,d
@AcademicAssis11 yaaass #LetLeniLead2022 🌸🌺,d
Tuesday Vargas is Kakampink 🌺💗 #PasigLabanSaTroPa #PasigIsPink #LeniKikoAllTheWay #LetLeniLead2022  https://t.co/jv4yWoqUHj,a
"@altGenie Facts checking 101.  A. Yung MAGNA Cumlaude sa MATH nag compute ng piling area..   B. Yung Malinaw ang mata na OC, isinama ang lahat ng area na nakita. Sabay compute and estimated the actual area..  A or B?  #BBMSARA2022 #LetLeniLead2022",a
@heyvjmendoza Di siya titigil lods hanggang di nananalo si @lenirobredo 😆😆😆 #LetLeniLead2022,a
Takot na takot sa malakas na babae!  #LetLeniLead2022,a
Sa gobyernong tapat angat Buhay lahat🎀🎀 #LetLeniLead2022  #LetLeniKikoLead2022,a
ito po pala yung performance ko kagabi!   #PasigLaban #PasigIsPink  #PasigLabanParaSaTRoPa #LetLeniLead2022,a
YASSSS #LetLeniLead2022  https://t.co/Gv7w5qLVzJ,a
Si kuya grab oh. 🎀🎀🎀🎀🎀🎀🎀🎀 #LetLeniLead2022  https://t.co/9ZGloGLmJC,d
Threatened na ba ang lahat?🫣 #LeniKiko2022 #LetLeniLead2022 #KulayRosasAngBukas  https://t.co/1MdvqLMl3v,d
tama k diyan bff #LetLeniLead2022,d
#MaPaBakitMarcos Paninindigan mo ba ang KASINUNGALINGAN? #Halalan2022 #LetLeniLead2022  #LeniKiko2022  https://t.co/5LvnmEQ2iH,d
At Saint Padre Pio.. Prayer Rally for VP Leni ang Sen Kiko 💗🌷  Ang authentic ng saya ng bawat tao . 🥰 #LetLeniLead2022 #AngatBuhayLahat #Kakampink  https://t.co/ZPuC0AOmRu,a
puro leni nasa feed ko aaaaaaaAAAAA YES 💓 #LetLeniLead2022,a
"Grabe, who would've thought we'd be standing beside this massive tarp from Bacolod for the whole campaign rally, kaya sobrang sulit kahit medyo malayo na sa stage. 🥺💗   #PasigIsPink  #BacolodisPink  #LeniWanagSaDilim  #KulayRosasAngBukas  #PasigLaban  #LetLeniLead2022  https://t.co/hYau8JeqFO",a
"VP @lenirobredo is really something! Pagmamahal na radikal pa rin ang panawagan nya.   ""Kahit po ako, hindi ako mangangako na masusulusyunan ko yung lahat ng problema natin, kung hindi ko kayo kasama sa laban na ito.""  🎥 - @teamlenirobredo fblive  #LetLeniLead2022  #LeniKiko2022  https://t.co/9jYCalVU6x",a
Last night was amazing and great. I can feel the love and support from each and every #kakampinks 💞. See you in more rallies 🥰  #PasigLaban #PasigIsPink #LeniKiko2022 #LetLeniLead2022 #KulayRosasAngBukas #LiwanagSaDilim,a
ate elluh speaking facts💅💅💅  #LetLeniLead2022 #SiKikoAngManokKo  #AngatBuhayLahat,d
Mga Kakampink kahapon. This makes me proud. 🥺✊ #LetLeniLead2022,a
#LetLeniLead2022 💅  https://t.co/Xr2ZWDKva6,d
KLARONG KLARO NA HA. 🤪 #LetLeniLead2022  https://t.co/9cSVB617vj,a
@FOXYGIVES #LetLeniLead2022 💗  https://t.co/R2jm4iNyVf,d
🇵🇭 #LetLeniLead2022  https://t.co/CyCb0ZzGxM,d
has anyone seen a full aerial video of kakampinks singing together? gusto kong umiyak pls  #LetLeniLead2022 💗,a
Proud to be part of the revolution!  I’m loud and proud that my president is a WOMAN! The best man for the job is a WOMAN! 🎀💖  #PasigLaban  #LetLeniLead2022  https://t.co/mSwrdwLQXx,a
This legit made me cry. Oh. I miss you so very very much Nanay. I'm sure if you're here you'll also be one with me fighting for the betterment of our country. I miss you Nay and Tay. 😭 #WakeupPilipinas #LetLeniLead2022 #IpanloNa10To #LeniKikoAllTheWay,a
ANG TUNAY NA IBIGSABIHIN NG PAG-KAKAISA. 😭💖 IPANALO NA NATIN TO PILIPINAS! 💗  #10RobredoForPresident  #LetLeniLead2022  #LeniKiko2022,a
"sa gobyernong tapat, ateng melody, pls kaibiganin mo po ako di po ako nangangagat  #KPopStans4Leni #LetLeniLead2022 #LeniKiko2022 #PasigLaban  https://t.co/aVxYS2usC0  https://t.co/C3KGgYiLWe",a
"Wala man ako sa mga campaign rally mo, andito naman ako lagi nakasuporta sa yo. 🌸💗  #KulayRosasAngBukas  #LeniKiko2022 @lenirobredo #LetLeniLead2022  https://t.co/BEAJQ2uRn6",a
ANG SAYA SAYA NG MGA POSTS 💖🎀 #LetLeniLead2022 #Kakampink,d
Join The Love Revolution Yesterday! 💗   #LetLeniLead2022   #LeniKiko2022  #KulayRosasAngBukas #PayanigSaPasig  #PasigLaban  #Kakampink 🎀🎀🎀🎀🎀,a
"ghorl, visual representation daw ng mga kpop stans na sinasabihang magtouch ng grass 😭😭  #PasigLaban #KulayRosasAngOrtigas #LetLeniLead2022 #LeniKiko2022  https://t.co/QxTpfaKBwF  https://t.co/ArrdHwe24Y",d
@FOXYGIVES #LetLeniLead2022,d
Acheche... 😂 Di sila affected sa #PasigLaban para mag collate ng mga OLD SURVEYS. 🤣 🙃  #LetLeniLead2022 #LeniKikoAllTheWay #NoToMarcosDuterte2022 #NeverAgain,d
ex-BBM for @lenirobredo  #AngatBuhayLahat  #LetLeniLead2022 🌸,d
"When the people loves you, VP Leni 💕💕  #LetLeniLead2022  #AngatBuhayLahat  https://t.co/vY3rk3alzs",a
"137,000 KAKAMPINKS sa #PasigLaban!!! I think never in history na nangyare 'tong ganitong karaming umattend for Grand Rally. Knowing na may Oil Price Hike, Sunday yung Grand Rally so possible may mga pasok pa sila sa work/online class, and late makakauwi.  #LetLeniLead2022",a
I wanna get me some of that pink pandesal. #LetLeniLead2022,a
