tweet,polarity
hoyi bbm consist support caravan interview,positive
solid marikina,positive
uniteam danc challeng presid bbm presid inday dutert,positive
maramingmaram patuloy ninyong pagsuporta pagmamah bongbong bise dutert,positive
survey victori bbmsara,positive
"The amount of people who wanted to hear from #bbm😭. That's not the final view, anyway go watch the live in SMNI now!  https://t.co/5glWlnkzho",positive
n0 T0 NeGAtIve cAmPaiGnINg   #BBM Tax Evader,positive
#ItuloyAngPagbabago #BBM #SMNITheDeepProbe competent! Kaya pala bet na bet siya ni late Sen. Miriam Santiago nuon. She was so kind to Pres.Duterte and to BBM! ‘Coz these two will make a difference in Philippine history! To be great again! 🤩🤩,positive
iboboto name humaharap libolibong humaharap camera victori bbmsara,positive
good start phase,positive
countri need leader leader seek unit divid leader futur bongbong,positive
effect mensah campaign ralli joke interact audiencenapaka gaan dibdib laka charisma best sad stress pandem least segu buhay caravan ralli masaya,positive
half las pi motorcad ralli panic sibuya delus maniken lobo mukha gumagalaw mahalin pilipina tayoy babangon,positive
activ roblox player game call bbm ralli uniteam ralli sunday gmt,positive
papayag support nia think dika focus pangangampanya ilatag taumbayan plataporma sakali mahikayat kapa tumaa,positive
nakasaksi mahal futur presid bongbong maaga talagang inaantabayanan pagdat init pagsalubong,positive
clap damnn meteor binagsak kalaban welp papayag dayain,positive
beg disagre wors uniteam win,positive
@bongbongmarcos We love our very own Mayor and Now Our VP.  #SolidSARAforVicePresident2022 #BBMSARAUNITEAM2022,positive
matalino mabait mapagkumbaba prinsipyo naninira tunay malasakit pilipino bbm proud,positive
"Consistent with comms that he will pick productive discussion to solve problems instead of debates meant only to divide the nation. This aligns well with concept of Unity. #UniTeamBBMSara team should push this more, spread the word, and expand what this means for real people.",positive
siguro halata proclam padamit palamuti palatandaan bayad makikita katotohanan motorcad kakampwet kaunti ibangiba motorcad uniteam,positive
@bongbongmarcos #BBMforPresident2022 Bongbong Marcos ikaw ang Presidente namin mga OfW solid..samasama tayong Babangon muli✌️✌️✌️,positive
"@DZAR1026 @bongbongmarcos @indaysara @MJ__Mondejar Eto ang tunay na kampanya, hindi libreng pa concert at walang hakot! Wow, walang humpay ang suporta! Ang dami!   #BBMForPresident  #SARA2022 #BBMIsMyPresident2022  #UniteamBBMSara   🇵🇭✌👊❤💚",positive
share page bbm team get stronger,positive
Goosebumps ❤️💚  #BBMSARA2022  #BBMSaraUNITEAM  #BringBackMarcos  Vid (edit) crdts to the owner : Nelson Madroño  https://t.co/KxHUmYQIIA,positive
"Bakit si BBM ang dapat iboto:   *You shoot me down, but I won't fall *I am titanium *You shoot me down, but I won't fall *I am titani... ""SABAY SABAAAAAY""!!  Marcos forever!!! ❤💚  #UniTeam2022 #BBM #BBMForPresident #10RobredoPresident #LetLeniLead2022  https://t.co/YaqqAM1C54",positive
handang handa sultan kudarat buka capitol ground isulan sultan kudarat,positive
reaction bbm almost reaction tunay pinusuan pilipino bbm,positive
kakampink victim card nauuna nilalabanan iiyak petit bbm mabait,positive
kablengblong magambagan mapatunayan pagkakaisa plataporma plataporma magkasulbi liphnan bwuahahaha,positive
bbm success,positive
"Kakapagod din araw araw Balita at Bardagulan sa #Eleksyon2022 Can we skip to the good part....  Declaration of The 17th President of The Philippines - Ferdinand ""Bong Bong"" Marcos Jr. 🇵🇭  #BBMSara2022  #BBMForPresident #BBM",positive
solid bbm fan suportahan uniteam panuorin kingmak promis proud bongbong,positive
amaz presid hundr twentysix thousand view,positive
bbm presid,positive
kayong magagawa bbm iboboto nami utak dala,positive
"Election is over, kumbaga yung mga caravans personal nilang pasasalamat sa mga pilipino sa tiwala at paniniwala na ibinibigay sa kanila. Char!  #BBMSARA2022 #BBMSaraUNITEAM2022",positive
padadalhan tonetonelada kape makatulog naiidlip minamala bbm uniteam road frontrunn,positive
Stay positive nlng tayo. Wag nalng natin gantihan. Basta sa sarili natin alam natin kung sino ang karapat-dapat na maging president 🤗 💚❤️ #SolidBbm  #BBMIsMyPresident2022  #UniteamBBMSARA,positive
baligtarin natintaong bayan kusang sumuporta bbm dina kelangan madam sale talkparang nahirapan hahapara fresh oven,positive
Why are they not campaigning their own name without using the name and issue of Marcoses? Sila nagkakaisa Pag Usapan sa Debate ang mga Issue ng Marcos. Samantalang si BBM nandun Kausap ang taong Bayan! Hahaha 🤣✌️👊♥️🇵🇭💚 #BBM #UniTeamBBMSARA  https://t.co/XoRHX4yPxx,positive
@bongbongmarcos We will be supporting you all the way!  #bbmforpresident2022  #BBMSaraUNITEAM  #bbmsarah2022,positive
high appreci spidey support,positive
"@inquirerdotnet Great Job!  Prove what you have, ""Unity + Intelligence = SUCCESS""  #BBMFORPRESIDENT2022",positive
grabeeee saya kaninaaaa worth pagpunta koooo,positive
"Nangingibabaw pa rin ang Pula at Berde kahit anong pangmamaliit ang ginagawa ng mga kalaban. Tuloy ang laban hangang May 9, 2022. Para sa anim na taon! Ipaglalaban ko ang boto ko. #BBMSaraUNITEAM #Halalan2022  https://t.co/OVgPWYoapm",positive
win deserv cent,positive
Sana tama talaga kayo sa inilalaban nyo 🌷.. Huwag sana masayang lahat ng itinama ni PRES. DIGONG sa kanyang pamumuno ...  #BBMForPresident #UniteamBBMSara #PilipinasLaban #SolidBBM #2022presidentialpoll,positive
hihina loob support bbmampsara gullibl easili manipul influenc pressur societi,positive
presid republ philippin ferdinand bongbong,positive
naninira bbm wa effect tinawanan,positive
candid ferdinand philippin candid call uniti peopl philippin philippin progress vengeanc peac dad salut,positive
involv break news talagaoh nagrereklamo support mababago isip sasali bbm debat,positive
madami nanood onlin comelec debat debat matatawag tbhhindi nanood comelec debatenakikita nf uniteam comelec debat,positive
tunay magnanakaw kulungan,positive
magagawa sama sama nagkakaisa uniti basahin,positive
"walang halong paninira sa lahat ng sinabe, lahat para sa pilipinas hindi para sa kalaban 🇵🇭🇵🇭 #SolidBBM💚❤️  https://t.co/KgeDG1DdFB",positive
"Si BBM na guys!!  #SMNIDeepProbe  #BBMIsMyPresident #7 sa Balota at  #4 si Inday Sara.,",positive
gorgeous beauti goe beyond exterior biggest purest heart filipino peopl dc,positive
excit debat tomorrow balita question maganda makaka alaman know reason dame nawala qc bbmsara,positive
@bongbongmarcos May nanalo na #BONGBONGMARCOS2022  lang malakas kahit ano pa gawin nyo mga kulto tangapin nyo nalang na wla ng career yan sinusuportahan nyo ##BBM #BBM  https://t.co/GSpL2Pvr5b,positive
March na! kontiis nlng Pops and Mayor Inday Aahon na ang Pilipinas 🇵🇭♥️✌️💚👊 #UNiTeamBBMSARA,positive
futur presid republ philippin,positive
"Sandro: ""Gagawin ko ang lahat ng aking kakayanin para isuporta ang Uniteam lalo na sa Ilocos pag andun ako."" FEM must be so proud ni Heaven 😍❤💚  #UniTeamBBMSara  #SandroMarcos  https://t.co/cMGCsIefSi",positive
sama sama babangon pamumuno mahal pangulong bongbong pusong suporta bise mayor inday dutert mahalin pilipina,positive
kawawa pina leni ayuda utak pinapasok nia utak band aid maliit malak sugat imagin bbm solusyon gumagawa gagawa solv problema,positive
tapang malasakit nagpapatunay karapatdapat bise pilipina bayan dutert malaka,positive
nagkaisa nagtulungan uniteam kame maisasa makakainparang langgam yorm koi,positive
Bakit ba hindi makukulong si #BBM dahil sa estate tax na 203B? Ang sagot kasi hindi mo inaral yung tax law or di mo man lang binasa kahit konti ano yung sinasabi dun ng maliwanagan ka. Anong inatupag mo nagshare ka lang ng nagshare. Kasalanan mo yan. Lab❤ Lab💚,positive
ordinaryong pilipino magbigay tulong bukal puso clemencia mabut puso waga pagmamah pangulong bbm,positive
bbm prove deep understand econom polit issu inclus lgbtq,positive
watch intiktok super mix emot definit non egoist non hyprocrit peopl salut woman choos valu money wise uniti countri,positive
hard cri saw navota heart melt gave envelop love bbm uniteam take care alway,positive
THE ROAD TO UNITY. #BBMSARAlangSakalam  The Uniteam Song  https://t.co/Muu2BFD5gD via @FacebookWatch,positive
sandro trend bibigyan kaunt pagpupugay makabayang masipag malasakit,positive
Hindi mawawala ang build build build dahil #UniTeam ang magwawagi sa #Halalan2022 #BBMSARA2022 #BBMForPresident 🙏🏽🇵🇭❤️💚✌🏽🍔,positive
"Magtulungan kaysa magsisihan. Sa ating pagkakaisa, babangon tayo. #UniTeamBBMSARA  #WINTayongLahat #WIN30saBALOTA  https://t.co/PcvM6T6J5Y",positive
chill chill sing along marikina crowd victori bbmsara,positive
best plan,positive
bbmsara support follow ill follow youmabuhay,positive
chill caravan malabonforuniteam dirediretcho elect,positive
hater gonna hate,positive
head greenfield ralli pass car shout bbm syempr papatalo kakampink,positive
Ang totoong LOSER ay LAHAT NG PILIPINO kapag si @bongbongmarcos ang maging pangulo.  #LenLenLoser #KayLeniTayo #PiliPinasDebates2022 #MarcosDuwag,positive
late fem presid deepli care love nation awesom forget alway rememb forev god bless alway,positive
"@bongbongmarcos @fierylise Good morning po Mr.President BBM , Salamat po at lagi po kayong magiingat.mahal po namin kayo😍😇🙏#bbmsarauniteam2022✌🐅❤👊🦅💚",positive
visit bbm vlog maliwanagan compar develop project iloco camarin tumigil hanash magagawa daig aso tahol tahol,positive
nakakar venu ginabi crowd dinadaanan proud nakikita pinapakitang suporta nakakakilabot nakakaiyak,positive
"@j_oscaris @zephdawgs D bale d yan matitinag si #BBM s mga #CancelCulture ninyo.  The more hate you throw at him, the stronger he gets to his supporters.  Malalaman nyo yan s eleksyon kahit n dayain p yan ng Comelec at SmartMagic. 🤑😁  P.S. Ipa-libre",positive
nanalo cavit bumaha karagatan pula berd mapipigilan,positive
bilib bilib kakampink gale gale asan utak hay,positive
break heart insist give money earn fish port help campaign uniteam pagmamah uniteam kabilang parlor niyan,positive
happi member subreddit runiteambbmsara onti don totoong,positive
Ganda ni isca but i will still go for bingning 😀✌❤  #BringBackMarcos,positive
honest themba deserv win vote,positive
bongbong join debat,positive
pagbabago kinabukasan lipunan pilipina,positive
tama inilalaban masayang itinama pres digong pamumuno,positive
uniteam win umattend debat,positive
There is no uncorrupt candidates running for president. Lahat may issues. Nagbubulag bulagan lng talaga ang iba dyan. Vote for less evil.  #Bongbong #Leni #Isko #Ping #Election2022,positive
@krambled08 Oh yeah he did great things during his regime ❤️💚 #BringBackMarcos #BBMForPresident #BBMSARA2022,positive
melai threw truth bomb bongbong earn respect,positive
"Ano nga ba ang mayroon sa 2022 election? Well, dito lang naman natin nakita ang totoong pagkatao ng bawat isa. Dito rin natin nalaman kung sino nga lang ba ang deserve ung respeto natin. Lumabas ang mga bastos At lumabas ang mga totoong edukado #BBMSaraUNITEAM  #BBMIsMyPresident",positive
"Marcos apologist: itutuloy ni BBM ang Build, Build, Build at tatawagin itong Build, Build more.  #Kakampink : Bago yan, BBM muna. Bayad Bayad Muna (ng 203Billion)   🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥  #PiliPinasDebates2022 #MarcosDuwag",positive
"MACHIAVELLIAN cunning, scheming, and unscrupulous, especially in politics or in advancing one's career. ITS TIME✌️❤️🇵🇭❤️🇵🇭❤️✌️  BRING BACK MARCOS #BringBackMarcos  https://t.co/G5yhQls3N4",positive
"Dahil wala yung 4, more air time for BBM para maipaliwanag sa publiko ang kanyang plataporma de gobierno.   MARCOS PA RIN ❤💚✌🌹 #BBMForPresident  #BBMIsMyPresident2022  #MarcosLangSakalam",positive
You seem to be forgetting that your nanay is absent also in the SMNI very first presidential debate. If the second placers are DYING to face #BBM then they should have attended the #SMNIpresidential debate. 🔥🔥🔥  #LenLenLoser,positive
respect opinion,positive
@inquirerdotnet Humarap ka sa debate para naman maramdaman ng supporters mo na kaya mo silang panindigan. Thatsbthe proper venue hindi mga dumididapdap na interview. #MarcosDuwag,positive
isama naten katuwang bbm,positive
bbm win race louder david,positive
good sunday samasama babangon,positive
Namayagpag ulit #UNITEAM habol kayo mga LUTANG 😭🤣  https://t.co/cPdPlTbt3m,positive
Yung very knowledgeable sya pag dating sa problema ng bansa natin at alam nya ang mga pwedeng solusyon at pwedeng gawin. Galing talaga. He really is ready and it's really his time. ❤️💚  #BBMismypresident #SMNITheDeepProbe,positive
bbm certain know say articul kind interview,positive
"@MIGGY_0129 Di bale, nandyan PA naMan Yung IBang kandidato for president, it is their loss, not #BBMismypresident chance na Sana nilang ipakita Kung karapat dapat silang Iboto as president, baka Lang hindi Nila KayaNG harap in ang TotooNG karapat dapat na",positive
respect filipino elector respect elector process leader candid begin hide away issu haunt,positive
"""BASTA'T TAYO'Y MAGKASAMA LAGING MAYROON UMAGANG KAY GANDA""  Nagstart ng 45k and ended with 140k viewers! Naalala ko nun na proclaim si Duterte as President grabe same feels, nakakatindig balahibo, nkakaiyak at higit sa lahat nkaka proud na maging PILIPINO!  #bbmsarauniteam2022  https://t.co/5o9ZgpBl6s",positive
@cleovyll_yu respect my opinion kahit convicted at sinungaling iboboto ko #BBMIsMyPresident❤️,positive
"Cge lang what's 27 M to the Marcoses? At a certain point, their ill-gotten wealth is just a number to them #BBMSARA2022 #BBM",positive
genuin authent next presid futur leader,positive
mawawala build build build magwawagi,positive
